id,Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp,Calories
1,male,58,187,87,23,111,40.8,190
2,male,39,165,69,30,108,41,195
3,female,60,152,54,3,86,38.5,14
4,male,22,188,80,11,86,40.1,28
5,male,41,178,87,15,83,40.3,48
6,female,37,161,60,26,99,41.1,144
7,male,23,196,90,14,93,40.3,55
8,female,28,159,55,24,106,41,149
9,female,24,168,60,3,89,38.8,13
10,female,49,164,66,23,101,40.5,135
11,female,63,175,73,23,106,40.6,151
12,male,72,202,111,20,94,40.5,137
13,male,25,186,90,1,84,37.9,3
14,female,70,154,57,4,81,38.7,17
15,female,22,165,64,15,93,40.3,69
16,female,24,175,73,11,87,39.8,42
17,female,73,167,67,2,86,38.4,9
18,female,38,156,56,19,93,40.3,94
19,male,68,192,97,24,98,40.5,168
20,male,50,177,79,21,96,40.5,114
21,female,21,159,50,11,86,40.1,44
22,male,32,187,90,12,89,40.2,45
23,male,37,213,110,29,112,40.9,228
24,male,25,175,78,8,92,39.5,29
25,male,39,190,96,30,109,40.6,217
26,male,47,183,91,20,94,40.5,105
27,male,27,184,92,2,85,37.9,6
28,female,38,155,59,28,115,40.4,204
29,female,20,168,64,12,96,39.8,58
30,female,68,166,64,3,77,38.3,11
31,female,42,166,63,11,80,40.2,39
32,female,24,169,67,23,112,40.4,152
33,male,67,183,89,24,107,40.7,195
34,female,41,148,54,16,101,40.5,94
35,female,50,168,61,2,89,38.1,9
36,female,20,157,56,26,103,40.4,149
37,female,78,183,79,20,104,40.4,131
38,male,21,197,98,18,102,39.8,96
39,male,29,197,92,22,97,40.8,107
40,female,25,178,71,5,94,39.2,23
41,male,76,188,93,30,105,41.2,250
42,male,76,192,103,25,100,40.4,195
43,male,67,173,78,4,95,38.7,24
44,male,20,181,80,27,100,40.8,124
45,male,22,182,86,4,88,38.9,12
46,male,28,182,87,29,104,40.8,167
47,female,51,167,63,26,112,41,185
48,female,21,163,62,14,91,39.9,61
49,male,51,185,90,15,99,40.4,92
50,male,34,191,91,27,115,40.7,210
